Entrada 1	     	Entrada 2	     	Entrada 3	     	Entrada 4	     	Coincidencias
        0	     	        0	     	     6131	     	     7290	     	     1719
        0	     	        0	     	     6368	     	     8180	     	     1696
        0	     	        0	     	     6430	     	     6803	     	     1705
        0	     	        0	     	     5959	     	     7583	     	     1695
        0	     	        0	     	     7352	     	    11993	     	     1738
        0	     	        0	     	     7045	     	     8319	     	     1773
        0	     	        0	     	     6285	     	     7891	     	     1703
        0	     	        0	     	     6913	     	     7997	     	     1748
        0	     	        0	     	     5168	     	     8525	     	     1725
        0	     	        0	     	     7234	     	    10367	     	     1800
        0	     	        0	     	     7653	     	    12046	     	     1782
        0	     	        0	     	     6042	     	     9276	     	     1777
        0	     	        0	     	     7396	     	    13256	     	     1723
        0	     	        0	     	     6935	     	     8523	     	     1721
        0	     	        0	     	     7360	     	    11423	     	     1800
        0	     	        0	     	     6510	     	     9010	     	     1754
        0	     	        0	     	     6939	     	    10751	     	     1697
        0	     	        0	     	     7183	     	    11573	     	     1696
        0	     	        0	     	     7363	     	    12094	     	     1755
        0	     	        0	     	     8019	     	    11236	     	     1744
        0	     	        0	     	     7017	     	    11483	     	     1739
        0	     	        0	     	     7397	     	    12278	     	     1728
        0	     	        0	     	     7545	     	    11946	     	     1679
        0	     	        0	     	     7026	     	    12092	     	     1764
        0	     	        0	     	     6805	     	    12385	     	     1727
        0	     	        0	     	     7577	     	    12833	     	     1694
        0	     	        0	     	     7293	     	    13656	     	     1807
        0	     	        0	     	     7318	     	    13149	     	     1756
        0	     	        0	     	     6545	     	    12497	     	     1708
        0	     	        0	     	     7570	     	    12322	     	     1800
        0	     	        0	     	     7575	     	    13230	     	     1774
        0	     	        0	     	     7482	     	    12826	     	     1837
        0	     	        0	     	     8382	     	    16527	     	     1737
        0	     	        0	     	     6838	     	    13162	     	     1742
        0	     	        0	     	     7205	     	    13050	     	     1740
        0	     	        0	     	     7251	     	    13766	     	     1796
        0	     	        0	     	     7440	     	    14581	     	     1763
        0	     	        0	     	     7570	     	    14404	     	     1752
        0	     	        0	     	     7693	     	    14150	     	     1743
        0	     	        0	     	     8077	     	    16209	     	     1787
        0	     	        0	     	     8375	     	    17327	     	     1798
        0	     	        0	     	     7830	     	    14710	     	     1741
        0	     	        0	     	     8043	     	    14473	     	     1782
        0	     	        0	     	     8320	     	    14786	     	     1689
        0	     	        0	     	     7947	     	    15913	     	     1776
        0	     	        0	     	     8309	     	    16165	     	     1823
        0	     	        0	     	     7833	     	    15645	     	     1818
        0	     	        0	     	     8133	     	    16329	     	     1823
        0	     	        0	     	     8842	     	    18916	     	     1791
        0	     	        0	     	     7795	     	    17072	     	     1712
        0	     	        0	     	     8619	     	    17660	     	     1749
        0	     	        0	     	     7725	     	    16760	     	     1763
        0	     	        0	     	     8509	     	    17037	     	     1810
        0	     	        0	     	     8261	     	    17590	     	     1825
        0	     	        0	     	     9592	     	    21599	     	     1791
        0	     	        0	     	     8651	     	    17474	     	     1766
        0	     	        0	     	     8884	     	    18300	     	     1814
        0	     	        0	     	     8130	     	    18270	     	     1746
        0	     	        0	     	     8591	     	    18768	     	     1794
        0	     	        0	     	     8520	     	    17875	     	     1731
        0	     	        0	     	     7936	     	    18872	     	     1728
        0	     	        0	     	     8765	     	    19951	     	     1833
        0	     	        0	     	     8539	     	    17262	     	     1834
        0	     	        0	     	     8018	     	    19030	     	     1772
        0	     	        0	     	     8744	     	    20038	     	     1798
        0	     	        0	     	     9030	     	    19207	     	     1728
        0	     	        0	     	     8964	     	    18152	     	     1716
        0	     	        0	     	     8531	     	    19768	     	     1840
        0	     	        0	     	    10572	     	    23890	     	     1796
        0	     	        0	     	     9265	     	    19409	     	     1729
        0	     	        0	     	    10356	     	    23671	     	     1838
        0	     	        0	     	     8913	     	    19213	     	     1848
        0	     	        0	     	     8737	     	    19806	     	     1748
        0	     	        0	     	    10011	     	    21843	     	     1854
        0	     	        0	     	    10038	     	    24676	     	     1756
        0	     	        0	     	     8689	     	    19517	     	     1746
        0	     	        0	     	     8954	     	    19402	     	     1881
        0	     	        0	     	     8587	     	    20019	     	     1783
        0	     	        0	     	     9893	     	    21878	     	     1793
        0	     	        0	     	     8970	     	    19918	     	     1849
        0	     	        0	     	     8706	     	    20460	     	     1809
        0	     	        0	     	     9500	     	    22990	     	     1793
        0	     	        0	     	     9119	     	    22078	     	     1809
        0	     	        0	     	     9446	     	    21667	     	     1725
        0	     	        0	     	    10624	     	    25124	     	     1868
        0	     	        0	     	     9299	     	    21318	     	     1777
        0	     	        0	     	     9898	     	    22467	     	     1804
        0	     	        0	     	     9095	     	    22069	     	     1828
        0	     	        0	     	     9407	     	    22833	     	     1814
        0	     	        0	     	     9087	     	    21862	     	     1753
        0	     	        0	     	    11222	     	    26136	     	     1773
        0	     	        0	     	     9030	     	    21750	     	     1876
        0	     	        0	     	     9401	     	    22926	     	     1790
        0	     	        0	     	     9392	     	    22799	     	     1839
        0	     	        0	     	    10696	     	    26686	     	     1789
        0	     	        0	     	     9222	     	    22356	     	     1769
        0	     	        0	     	     9134	     	    22236	     	     1802
        0	     	        0	     	     8412	     	    24062	     	     1817
        0	     	        0	     	     8959	     	    23355	     	     1871
        0	     	        0	     	     9546	     	    22208	     	     1771
        0	     	        0	     	    11372	     	    28744	     	     1875
        0	     	        0	     	     9385	     	    22896	     	     1875
        0	     	        0	     	     8607	     	    23746	     	     1811
        0	     	        0	     	     9871	     	    23665	     	     1775
        0	     	        0	     	     9590	     	    23536	     	     1862
        0	     	        0	     	     9438	     	    24684	     	     1784
        0	     	        0	     	    10960	     	    28791	     	     1885
        0	     	        0	     	     9609	     	    23764	     	     1772
        0	     	        0	     	     9311	     	    23025	     	     1778
        0	     	        0	     	     9871	     	    24690	     	     1843
        0	     	        0	     	    10150	     	    22925	     	     1846
        0	     	        0	     	    10502	     	    25349	     	     1869
        0	     	        0	     	     9796	     	    24247	     	     1850
        0	     	        0	     	     9665	     	    25683	     	     1876
        0	     	        0	     	    11486	     	    28002	     	     1812
        0	     	        0	     	     9989	     	    24116	     	     1842
